Comment,Description,Designator,Footprint,LibRef,Manufacturer Part Number 1,Quantity,Supplier Part Number 1,Supplier Unit Price 1

"100nF","CAP CER 0.1UF 50V Y5V 0805","C1, C3, C5, C7, C9, C13, C15, C17, C19, C21","CAPC2012X09N","CL21F104ZBCNNNC","CL21F104ZBCNNNC","10","1276-1007-1-ND","0.05"
"1nF","CAP CER 1nF 50V C0G/NP0 0805","C2, C4, C6, C8, C14, C16, C18, C20","CAPC2012X09N","CL21C102JBCNNNC","CL21C102JBCNNNC","8","1276-1147-1-ND","0.11"
"330uF","CAP ALUM 330UF 20% 35V SMD","C10, C11, C12","CAPAE137130X140M","EMVH350ARA331MKE0S","EMVH350ARA331MKE0S","3","565-2316-1-ND","2.01"
"XZFBB45S-9","LED BLUE CLEAR 2PLCC SMD","D1","PLCC-2","XZFBB45S-9","XZFBB45S-9","1","1497-1233-1-ND","0.79"
"10A","FUSE BRD MNT 10A 125VAC/VDC SMD","F1","0157004.DR","0157010.DR","0157010.DR","1","F2973CT-ND","2.73"
"FID?","","FID1, FID2, FID3, FID4, FID5, FID6","fiducial","fiducial","","6","",""
"282834-2","2 Position Wire to Board Terminal Block","J1","282834-2","282834-2","282834-2","1","A98333-ND","0.88"
"DF11-16DP-2DSA(01)","Headers & Wire Housings 2MM V PCB HEADER 16P DR THRU-HOLE GLD","J2","DF11-16DP-2DSA(01)_FLIP","DF11-16DP-2DSA(01)","DF11-16DP-2DSA(01)","1","798-DF11-16DP-2DSA01","1.49"
"282834-4","4 Position Wire to Board Terminal Block","J3, J14, J15, J20, J22","282834-4","282834-4","282834-4","5","A98335-ND",""
"1771156","CONN TERM BLK 8POS 2.5MM SMD","J4, J5, J6, J7, J8, J9, J10","1771156","1771156","1771156","7","277-2078-1-ND","1.52"
"M55-7004042R","Board to Board & Mezzanine Connectors 40P 1.27 SMC Male","J16, J17","M55-7004042R_FLIP","M55-7004042R","M55-7004042R","2","855-M55-7004042R","1.48"
"MH2029-300Y","EMI Filter Beads, Chips & Arrays Impedance 30ohms IDC 3.0","L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L20, L21, L22, L23, L24, L25, L26, L27, L28","INDC2012X11N","MH2029-300Y","MH2029-300Y","28","MH2029-300YCT-ND","0.07"
"1.2k","RES SMD 1.2K OHM 1% 1/8W 0805","R1, R5, R8, R9, R12, R16, R19, R21, R23","RESC2012X07N_SAMSUNG","RC2012F122CS","RC2012F122CS","9","1276-5275-1-ND","0.10"
"2.2k","RES SMD 2.2K OHM 1% 1/8W 0805","R2, R6, R10, R11, R13, R17, R18, R20, R22, R24","RESC2012X07N_SAMSUNG","RC2012F222CS","RC2012F222CS","10","1276-5290-1-ND","0.06"
"10k","RES SMD 10K OHM 1% 1/8W 0805","R3, R4, R7, R14, R15","RESC2012X07N_SAMSUNG","RC2012F103CS","RC2012F103CS","5","1276-5332-1-ND","0.10"
"TBD62083A","8channel source type DMOS transistor array","U2, U12","TSOP65P640X155-18N","TBD62083A","TBD62083AFNG,EL","2","TBD62083AFNGELCT-ND","0.78"
"ABPDANT015PGAA5_SMD","Pressure Sensor 15 PSIG","U3, U4, U5, U6, U8, U9, U10, U11","DIP6 SMD","ABPDANT015PGAA5_SMD","ABPDANT015PGAA5","8","480-6253-ND","15.21"
"ESCON Module 50/5","4-Q servo controller for DC/EC motors, 2/6 A, 10-50 VDC","U7","ESCON Module 50/5 SMD","ESCON Module 50/5","SSM-109-L-DV","1","SAM1146-09-ND","3.40"
"36V","Zener Diode 36V 225mW ±6%","ZD1, ZD2, ZD3, ZD4","SOT95P237X111-3N","BZX84C36LT1G","BZX84C36LT1G","4","BZX84C36LT1GOSCT-ND","0.15"
